%%% Data to be read on the pyvrft package %%%
%%% First experiment on the pilot plant %%%
%%% Organized as follows %%%
y1,y2,u1,u2
19.99,25.716,70,30
19.996,25.729,70,30
20.01,25.723,70,30
19.982,25.729,70,30
19.933,25.729,70,30
19.933,25.729,70,30
19.902,25.736,70,30
19.891,25.743,70,30
19.82,25.75,70,30
19.818,25.796,70,30
19.818,25.796,70,30
19.831,25.783,70,30
19.775,25.809,70,30
19.729,25.776,70,30
19.799,25.776,70,30
19.799,25.776,70,30
19.734,25.769,70,30
19.688,25.782,70,30
19.627,25.776,70,30
19.716,25.782,70,30
19.716,25.782,70,30
19.729,25.802,70,30
19.621,25.782,70,30
19.584,25.803,70,30
19.59,25.823,70,30
19.59,25.823,70,30
19.598,25.783,70,30
19.622,25.829,70,30
19.556,25.796,70,30
19.583,25.789,70,30
19.583,25.789,70,30
19.583,25.796,70,30
19.564,25.769,70,30
19.519,25.769,70,30
19.481,25.723,70,30
19.481,25.723,70,30
19.468,25.756,70,30
19.43,25.736,70,30
19.443,25.729,70,30
19.432,25.736,70,30
19.432,25.736,70,30
19.391,25.703,70,30
19.47,25.703,70,30
19.346,25.676,70,30
19.354,25.649,70,30
19.354,25.649,70,30
19.357,25.656,70,30
19.405,25.646,70,30
19.311,25.6,70,30
19.333,25.616,70,30
19.333,25.616,70,30
19.277,25.596,70,30
19.234,25.623,70,30
19.184,25.59,70,30
19.26,25.623,70,30
19.26,25.623,70,30
19.188,25.616,70,30
19.142,25.63,70,30
19.155,25.61,70,30
19.105,25.623,70,10
19.105,25.623,70,10
19.056,25.636,70,10
19.133,25.596,70,10
19.174,25.617,70,10
19.194,25.55,70,10
19.194,25.55,70,10
19.327,25.47,70,10
19.363,25.424,70,10
19.367,25.35,70,10
19.449,25.32,70,10
19.449,25.32,70,10
19.584,25.231,70,10
19.564,25.198,70,10
19.59,25.178,70,10
19.57,25.084,70,10
19.57,25.084,70,10
19.648,25.018,70,10
19.716,25.005,70,10
19.746,24.972,70,10
19.786,24.919,70,10
19.786,24.919,70,10
19.881,24.832,70,10
19.849,24.77,70,10
19.843,24.744,70,10
19.976,24.684,70,10
19.976,24.684,70,10
19.946,24.617,70,10
20.023,24.579,70,10
20.003,24.504,70,10
20.077,24.49,70,10
20.077,24.49,70,10
20.153,24.397,70,10
20.112,24.337,70,10
20.193,24.311,70,10
20.205,24.251,70,10
20.205,24.251,70,10
20.248,24.25,70,10
20.255,24.224,70,10
20.319,24.111,70,10
20.332,24.091,70,10
20.332,24.091,70,10
20.422,24.024,70,10
20.416,23.925,70,10
20.435,23.898,70,10
20.434,23.864,70,10
20.434,23.864,70,10
20.447,23.812,70,10
20.516,23.698,70,10
20.548,23.652,70,10
20.517,23.638,70,10
20.517,23.638,70,10
20.599,23.579,70,10
20.695,23.466,70,10
20.594,23.413,70,10
20.598,23.359,70,10
20.598,23.359,70,10
20.65,23.28,70,10
20.663,23.193,70,10
20.707,23.127,70,10
20.68,23.067,70,30
20.68,23.067,70,30
20.663,23.02,70,30
20.741,22.927,70,30
20.643,22.887,70,30
20.633,22.901,70,30
20.633,22.901,70,30
20.616,22.921,70,30
20.474,22.961,70,30
20.505,22.954,70,30
20.396,22.974,70,30
20.396,22.974,70,30
20.339,22.987,70,30
20.308,23.04,70,30
20.254,23.041,70,30
20.262,23.061,70,30
20.262,23.061,70,30
20.231,23.047,70,30
20.097,23.081,70,30
20.045,23.107,70,30
20.077,23.1,70,30
20.077,23.1,70,30
19.995,23.12,70,30
19.982,23.127,70,30
19.919,23.2,70,30
19.92,23.234,70,30
19.92,23.234,70,30
19.908,23.253,70,30
19.908,23.253,70,30
19.758,23.293,70,30
19.717,23.293,70,30
19.717,23.293,70,30
19.705,23.313,70,30
19.705,23.333,70,30
19.607,23.366,70,30
19.622,23.393,70,30
19.622,23.393,70,30
19.519,23.419,70,30
19.519,23.419,70,30
19.462,23.472,70,30
19.462,23.486,70,30
19.462,23.486,70,30
19.406,23.519,70,30
19.342,23.519,70,30
19.239,23.559,70,30
19.245,23.599,70,30
19.245,23.599,70,30
19.219,23.646,70,30
19.228,23.665,70,30
19.182,23.685,70,30
19.152,23.692,70,30
19.152,23.692,70,30
19.034,23.725,70,30
19.024,23.745,70,30
18.978,23.765,70,30
19.031,23.832,70,30
19.031,23.832,70,30
18.968,23.831,70,30
18.922,23.865,70,30
18.895,23.872,70,30
18.876,23.892,70,30
18.876,23.892,70,30
18.826,23.912,70,30
18.786,23.925,70,30
18.838,23.958,70,30
18.802,24.008,70,30
18.802,24.008,70,30
18.741,24.017,70,30
18.713,24.017,70,30
18.699,24.055,70,30
18.617,24.078,70,30
18.617,24.078,70,30
18.629,24.111,70,30
18.635,24.104,70,30
