%%% Data to be read on the pyvrft package %%%
%%% First experiment on the pilot plant %%%
%%% Organized as follows %%%
y1,y2,u1,u2
-0.64954,-0.83805,0,0
-0.67223,-0.83828,0,0
-0.67223,-0.83828,0,0
-0.64017,-0.83143,0,0
-0.62174,-0.83104,0,0
-0.63378,-0.81766,0,0
-0.67985,-0.81097,0,0
-0.67985,-0.81097,0,0
-0.66728,-0.8046,0,0
-0.59539,-0.7913,0,0
-0.69911,-0.77831,0,0
-0.65182,-0.77807,0,0
-0.65182,-0.77807,0,0
-0.67078,-0.77776,0,0
-0.56288,-0.78477,0,0
-0.62867,-0.77831,0,0
-0.604,-0.77831,0,0
-0.604,-0.77831,0,0
-0.68129,-0.75116,0,0
-0.68312,-0.77792,0,0
-0.65228,-0.78477,0,0
-0.66447,-0.78956,0,0
-0.66447,-0.78956,0,0
-0.58229,-0.76478,0,0
-0.65274,-0.74463,0,0
-0.65228,-0.72479,0,0
-0.63857,-0.74455,0,0
-0.63857,-0.74455,0,0
-0.59577,-0.74463,0,0
-0.58336,-0.71173,0,0
-0.55732,-0.74463,0,0
-0.63842,-0.73188,0,0
-0.63842,-0.73188,0,0
-0.57521,-0.75116,0,0
-0.62623,-0.72479,0,0
-0.62677,-0.73825,0,0
-0.6142,-0.7048,0,0
-0.6142,-0.7048,0,0
-0.60179,-0.7048,0,0
-0.60781,-0.71983,0,0
-0.65121,-0.76446,0,0
-0.6142,-0.75793,0,0
-0.6142,-0.75793,0,0
-0.62677,-0.75116,0,0
-0.57559,-0.76446,0,0
-0.64527,-0.79783,0,0
-0.61908,-0.77776,0,0
-0.61908,-0.77776,0,0
-0.59539,-0.80483,0,0
-0.62799,-0.81286,0,0
-0.51292,-0.81286,0,0
-0.57186,-0.82986,0,0
-0.57186,-0.82986,0,0
-0.58664,-0.82459,0,0
-0.62654,-0.87724,0,0
-0.58991,-0.8977,0,0
-0.57498,-0.8763,0,0
-0.57498,-0.8763,0,0
-0.58153,-0.8844,0,0
-0.57498,-0.8844,0,0
-0.57498,-0.90439,0,0
-0.60971,-0.91911,0,0
-0.60971,-0.91911,0,0
-0.61542,-0.91722,0,0
-0.62197,-0.92423,0,0
-0.53257,-0.94422,0,0
-0.50934,-0.92407,0,0
-0.50934,-0.92407,0,0
-0.57042,-0.9103,0,0
-0.60781,-0.90439,0,0
-0.59478,-0.8977,0,0
-0.56882,-0.89086,0,0
-0.56882,-0.89086,0,0
-0.61268,-0.8774,0,0
-0.59105,-0.89739,0,0
-0.56577,-0.91722,0,0
-0.53165,-0.89094,0,0
-0.53165,-0.89094,0,0
-0.57628,-0.85788,0,0
-0.62106,-0.87771,0,0
-0.5906,-0.86394,0,0
-0.51262,-0.87087,0,0
